accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
MK448800,2548250,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan539
MK448801,2548252,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan549
MK448802,2548253,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan55
MK448803,2548254,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan551
MK448804,2548255,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan553
MK448805,2548259,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan563
MK448806,2548260,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan565
MK448807,2548262,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan567
MK448808,2548263,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan569
MK448809,2548264,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan57
MK448810,2548266,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan573
MK448811,2548267,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan575
MK448812,2548269,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan577
MK448813,2548271,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan579
MK448814,2548273,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan583
MK448815,2548275,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan585
MK448816,2548276,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan589
MK448817,2548277,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan59
MK448818,2548279,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan597
MK448819,2548280,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan599
MK448820,2548283,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan617
MK448821,2548285,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan623
MK448822,2548288,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan629
MK448823,2548290,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan633
MK448824,2548292,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan637
MK448825,2548294,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan639
MK448826,2548298,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan645
MK448827,2548300,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan65
MK448828,2548302,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan69
MK448829,2548303,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan7
MK448830,2548304,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan73
MK448831,2548308,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan83
MK448832,2548310,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan85
MK448833,2548311,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan87
MK448834,2548314,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan91
MK448835,2548316,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan93
MK448836,2548318,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan95
MK448837,2547972,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan10
MK448838,2547973,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan100
MK448839,2547975,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan102
MK448840,2547976,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan104
MK448841,2547979,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan108
MK448842,2547981,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan110
MK448843,2547982,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan112
MK448844,2547985,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan116
MK448845,2547987,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan118
MK448846,2547989,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan122
MK448847,2547991,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan124
MK448848,2547992,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan126
MK448849,2547993,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan128
MK448850,2547996,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan132
MK448851,2548001,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan14
MK448852,2548002,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan140
MK448853,2548005,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan144
MK448854,2548006,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan146
MK448855,2548008,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan150
MK448856,2548012,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan158
MK448857,2548016,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan164
MK448858,2548017,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan166
MK448859,2548020,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan170
MK448860,2548021,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan172
MK448861,2548023,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan174
MK448862,2548025,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan178
MK448863,2548027,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan18
MK448864,2548028,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan180
MK448865,2548030,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan182
MK448866,2548032,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan184
MK448867,2548034,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan186
MK448868,2548036,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan188
MK448869,2548038,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan190
MK448870,2548040,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan192
MK448871,2548041,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan196
MK448872,2548044,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan20
MK448873,2548045,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan202
MK448874,2548046,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan206
MK448875,2548048,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan210
MK448876,2548050,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan214
MK448877,2548052,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan220
MK448878,2548054,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan224
MK448879,2548055,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan226
MK448880,2548062,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan238
MK448881,2548064,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan240
MK448882,2548066,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan242
MK448883,2548067,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan244
MK448884,2548068,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan246
MK448885,2548072,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan252
MK448886,2548074,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan254
MK448887,2548076,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan258
MK448888,2548077,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan26
MK448889,2548079,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan262
MK448890,2548081,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan264
MK448891,2548082,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan266
MK448892,2548083,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan268
MK448893,2548085,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan270
MK448894,2548087,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan272
MK448895,2548089,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan274
MK448896,2548091,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan278
MK448897,2548092,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan28
MK448898,2548093,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan284
MK448899,2548094,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan288
MK448900,2548096,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan290
MK448901,2548099,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan306
MK448902,2548100,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Streptococcus phage Javan308
MK448903,2548102,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan310
MK448904,2548104,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan316
MK448905,2548105,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan318
MK448906,2548106,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan32
MK448907,2548107,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan320
MK448908,2548108,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan326
MK448909,2548110,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan330
MK448910,2548112,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Streptococcus phage Javan336
MK448911,2548113,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan34
MK448912,2548114,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan340
MK448913,2548116,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan346
MK448914,2548118,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan348
MK448915,2548121,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan350
MK448916,2548124,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan36
MK448917,2548125,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan362
MK448918,2548127,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan366
MK448919,2548131,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan370
MK448920,2548133,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan372
MK448921,2548134,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan374
MK448922,2548136,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan38
MK448923,2548137,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan380
MK448924,2548140,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan384
MK448925,2548142,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan386
MK448926,2548145,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan392
MK448927,2548147,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan394
MK448928,2548149,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan40
MK448929,2548150,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan400
MK448930,2548152,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan406
MK448931,2548155,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan414
MK448932,2548156,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan42
MK448933,2548157,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan420
MK448934,2548158,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan422
MK448935,2548160,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan424
MK448936,2548162,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan426
MK448937,2548165,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan436
MK448938,2548167,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan44
MK448939,2548168,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan440
MK448940,2548170,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan444
MK448941,2548172,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan446
MK448942,2548174,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan448
MK448943,2548175,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan450
MK448944,2548177,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan452
MK448945,2548178,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan454
MK448946,2548179,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan456
MK448947,2548181,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan458
MK448948,2548183,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan46
MK448949,2548184,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan460
MK448950,2548185,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan464
MK448951,2548189,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan470
MK448952,2548191,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan472
MK448953,2548192,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan474
MK448954,2548193,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan476
MK448955,2548195,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan478
MK448956,2548196,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan48
MK448957,2548199,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan484
MK448958,2548201,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan486
MK448959,2548203,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan488
MK448960,2548207,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan492
MK448961,2548209,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan494
MK448962,2548210,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan496
MK448963,2548212,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan498
MK448964,2548216,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan502
MK448965,2548219,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan506
MK448966,2548221,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan508
MK448967,2548224,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan510
MK448968,2548226,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan512
MK448969,2548228,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan514
MK448970,2548230,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan516
MK448971,2548232,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan52
MK448972,2548233,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan520
MK448973,2548235,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan522
MK448974,2548237,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan524
MK448975,2548239,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan526
MK448976,2548241,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan528
MK448977,2548243,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan530
MK448978,2548245,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan532
MK448979,2548247,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan534
MK448980,2548249,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan536
MK448981,2548251,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan548
MK448982,2548256,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan554
MK448983,2548257,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan558
MK448984,2548258,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan562
MK448985,2548261,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan566
MK448986,2548265,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan570
MK448987,2548268,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan576
MK448988,2548270,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan578
MK448989,2548272,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan580
MK448990,2548274,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan584
MK448991,2548278,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan590
MK448992,2548281,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan6
MK448993,2548282,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan616
MK448994,2548284,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan618
MK448995,2548286,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan626
MK448996,2548287,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan628
MK448997,2548289,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan630
MK448998,2548291,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan636
MK448999,2548293,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan638
MK449000,2548295,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan64
MK449001,2548296,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan640
MK449002,2548297,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan642
MK449003,2548299,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan648
MK449004,2548301,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan68
MK449005,2548305,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan74
MK449006,2548306,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan78
MK449007,2548307,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan8
MK449008,2548309,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan84
MK449009,2548312,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan88
MK449010,2548313,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan90
MK449011,2548315,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan92
MK449012,2548317,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage Javan94
MK450421,2510568,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vashvirus,Streptomyces virus Vash
MK450422,2510576,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage RoMag
MK450423,2510577,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Stubby
MK450424,2510578,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Melpomini
MK450425,2510579,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Shelob
MK450426,2510569,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vashvirus,Streptomyces phage Euratis
MK450427,2510582,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Adlitam
MK450428,2510570,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Woesvirus,Gordonia phage Guillaume
MK450429,2478683,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Bipolarisk
MK450430,2510575,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Woesvirus,Gordonia phage Harambe
MK450431,2510571,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vashvirus,Streptomyces virus Lilbooboo
MK450432,2510580,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage ValleyTerrace
MK450433,2510572,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Sebastisaurus
MK450434,2510581,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage DrPhinkDaddy
MK450435,2510573,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Woesvirus,Gordonia phage Hello
MK450436,2510574,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Woesvirus,Gordonia phage Neoevie
MK450538,2510452,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fibralongavirus,Staphylococcus virus QT1
